odfw_raw,name,lat,lon,acres,amenities,species,has_camping,coord_note
SELMAC LK,Lake Selmac,42.25863,-123.57811,160,boat_ramp+dock+restroom+camping,rainbow+brown+crappie+bluegill+bullhead,True,
SHERIDAN PD,Sheridan Pond,45.0876,-123.39152,2,restroom+parking,rainbow,False,
SHEVLIN PD,Shevlin Pond,44.67256,-121.30554,,dock+accessible+restroom+bank_access,rainbow,False,
SILTCOOS LK,Siltcoos Lake,43.87692,-124.09023,3164,,rainbow+cutthroat+largemouth+crappie+bluegill+bullhead+perch,False,
SILVER CR RES,Silver Creek Reservoir,44.98329,-122.74574,65,,rainbow+catfish,False,
SMALL FRY LK,Small Fry Lake,45.22195,-122.24288,,accessible+restroom,rainbow,False,
SMITH LK,Smith Lake,45.57845,-123.94949,35,dock+bank_access,rainbow+largemouth+bluegill+perch,False,
SOUTH LK,South Lake,45.2026,-123.7215,5,camping,rainbow,True,
SPALDING PD,Spalding Pond,42.3467,-123.704,3,accessible+restroom+camping,rainbow+brook,True,
SPRING LK,Spring Lake,45.59563,-123.94527,13,,rainbow+steelhead,False,
ST LOUIS PD,St. Louis Ponds,45.11316,-122.93195,240,accessible+restroom,rainbow+brown+largemouth+crappie+bluegill+catfish+bullhead+perch,False,
SUNSET LK (N COAST RANGE),Sunset Lake,46.10097,-123.92959,107,boat_ramp+dock+bank_access+parking,rainbow+largemouth+steelhead,False,
SUTTON LK,Sutton Lake,44.05882,-124.09234,107,boat_ramp+camping,rainbow+cutthroat+largemouth+perch,True,
TAHOE LK,Tahoe Lake,45.35006,-123.60095,,boat_ramp+accessible+restroom+bank_access,rainbow+steelhead,False,
TAYLOR LK,Taylor Lake,45.6412,-121.20692,35,bank_access,rainbow+largemouth+crappie,False,
THIEF VALLEY RES,Thief Valley Reservoir,45.02572,-117.78889,685,boat_ramp+camping+bank_access,rainbow+catfish+bullhead+perch,True,
THISSEL PD,Thissel Pond,44.39998,-123.74995,3,,rainbow,False,
THREE CREEKS LK,Three Creeks Lake,44.09609,-121.62468,28,camping,rainbow+brook,True,
TIMBER LINN LK,Timber Linn Lake,44.63832,-123.05611,11,,rainbow+brown+largemouth+crappie+bluegill+bullhead,False,
TIMOTHY LK,Timothy Lake,45.11363,-121.77358,,boat_ramp+camping,rainbow+brook+cutthroat+kokanee,True,
TOWN LK,Town Lake,45.22455,-123.95599,9,boat_ramp+dock+accessible,rainbow+largemouth+steelhead,False,
TRILLIUM LK,Trillium Lake,45.27084,-121.73684,60,boat_ramp+dock+accessible+camping,,True,
TROUT FARM PD,Trout Farm Pond,44.30538,-118.55265,,camping,rainbow+brook,True,
TWIN LK,Twin Lakes,43.22955,-122.58962,12,camping+boat_ramp,rainbow+brook,True,
"TWIN LK, N",Twin Lake North,43.73166,-121.76379,130,,rainbow,False,
"TWIN LK, S",Twin Lake South,43.71481,-121.77216,99,camping+bank_access+no_motors,rainbow,True,
TWIN PDS,Twin Ponds,45.07847,-118.89391,,,rainbow,False,
VICTOR PD,Victor Pond,45.59407,-117.55401,,,rainbow,False,
WALLOWA LK,Wallowa Lake,45.33454,-117.21828,,boat_ramp+camping,rainbow+kokanee,True,
WALLOWA WLDLIFE PD (WEAVRS PD),Wallowa Wildlife Pond,45.5956,-117.57595,,,rainbow+steelhead,False,
WALTER WIRTH LK,Walter Wirth Lake,44.91,-122.99,20,,rainbow+brown+largemouth+crappie+bluegill+catfish+bullhead,False,
WALTON LK,Walton Lake,44.43308,-120.33694,19,boat_ramp+restroom+camping+no_motors,rainbow,True,
WAVERLY LK,Waverly Lake,44.64038,-123.06966,,dock+restroom+bank_access,rainbow+brown+largemouth+crappie+catfish,False,
WILLOW CREEK RES,Willow Creek Reservoir,45.34299,-119.53998,125,boat_ramp+dock+accessible+restroom+parking,rainbow+brown+smallmouth+crappie+bullhead,False,
WILLOW LK (former Willow Cr Res),Willow Lake,42.46939,-122.45789,927,boat_ramp+restroom+camping,rainbow+brown+cutthroat+kokanee+largemouth+crappie+bullhead,True,
WOAHINK LK,Woahink Lake,43.91657,-124.10088,820,boat_ramp+camping,rainbow+cutthroat+largemouth+perch,True,
WOLF CREEK RES,Wolf Creek Reservoir,45.06394,-118.0335,230,boat_ramp+restroom,rainbow+crappie,False,
ANSON WRIGHT PD,Anson Wright Park Pond,45.10939,-119.62624,,restroom,,False,
BIG CREEK RES-1,Big Creek Reservoir 1,44.65815,-124.04049,20,,rainbow+brown+bullhead,False,
