id,name,aliases,odfw_raw_strings,flags
wallowa-lake,Wallowa Lake,,WALLOWA LK,
wallowa-wildlife-pond,Wallowa Wildlife Pond,Weavrs Pd,WALLOWA WLDLIFE PD (WEAVRS PD),alt_name
walter-wirth-lake,Walter Wirth Lake,,WALTER WIRTH LK,
walton-lake,Walton Lake,,WALTON LK,
waverly-lake,Waverly Lake,,WAVERLY LK,
weston-highway-pond,Weston Highway Pond,,WESTON HIGHWAY PD,
wildcat-pond,Wildcat Pond,,WILDCAT PD,
willamette-river-coast-fork,Willamette River Coast Fork,,"WILLAMETTE R, CST FK",comma_modifier
willow-creek,Willow Creek,,WILLOW CR,
willow-creek-reservoir,Willow Creek Reservoir,,WILLOW CREEK RES,
willow-lake,Willow Lake,Willow Cr Res,WILLOW LK (former Willow Cr Res),renamed
wolf-creek-reservoir,Wolf Creek Reservoir,,WOLF CREEK RES,
yellow-jacket-lake,Yellow Jacket Lake,,YELLOW JACKET LK,
